Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
32.6312,544,570.74,558.18,1.39,11.18,559.57,569.36
32.6813,547,569.8,557.27,1.35,11.18,558.62,568.45
32.7314,541,569.01,556.37,1.32,11.33,557.69,567.7
32.7816,547,568.5,555.46,1.29,11.75,556.75,567.21
32.8317,566,568.61,554.56,1.28,12.77,555.84,567.33
32.8818,548,569.55,553.66,1.28,14.62,554.94,568.28
32.932,569,569.84,552.75,1.3,15.79,554.05,568.54
32.9821,563,567.99,551.85,1.33,14.81,553.18,566.66
33.0322,523,565.76,550.95,1.39,13.42,552.34,564.37
33.0824,572,564.02,550.05,1.48,12.49,551.53,562.54
33.1325,563,562.68,549.15,1.61,11.92,550.76,561.07
33.1827,614,561.63,548.25,1.82,11.55,550.07,559.8
33.2328,537,560.8,547.35,2.14,11.31,549.49,558.66
33.2829,525,560.26,546.45,2.66,11.14,549.11,557.59
33.3331,528,560.12,545.55,3.54,11.02,549.09,556.57
33.3832,514,560.7,544.66,5.1,10.94,549.76,555.6
33.4333,500,562.66,543.76,8.02,10.88,551.78,554.64
33.4835,518,568.17,542.86,14.47,10.84,557.33,553.7
33.5336,553,580.67,541.97,27.88,10.82,569.85,552.79
33.5838,519,584.86,541.08,32.97,10.81,574.05,551.89
33.6339,545,577.67,540.18,26.66,10.82,566.84,551
33.684,493,567.75,539.29,17.62,10.84,556.91,550.13
33.7342,532,558.39,538.4,9.12,10.87,547.52,549.27
33.7843,516,553.69,537.52,5.26,10.91,542.78,548.43
33.8344,541,551.07,536.63,3.47,10.97,540.1,547.6
33.8846,514,549.31,535.74,2.53,11.03,538.27,546.77
33.9347,452,547.94,534.86,1.97,11.11,536.83,545.97
33.9849,500,546.79,533.97,1.62,11.2,535.59,545.17
34.035,502,545.77,533.09,1.37,11.3,534.46,544.39
34.0851,498,544.83,532.21,1.2,11.42,533.41,543.63
34.1353,498,543.96,531.33,1.08,11.55,532.41,542.88
34.1854,574,543.13,530.45,0.99,11.69,531.44,542.14
34.2355,548,542.35,529.58,0.92,11.85,530.5,541.43
34.2857,500,541.59,528.7,0.87,12.02,529.57,540.72
34.3358,511,540.88,527.83,0.83,12.21,528.66,540.04
34.386,456,540.19,526.96,0.81,12.43,527.77,539.39
34.4361,456,539.54,526.09,0.79,12.66,526.88,538.75
34.4862,488,538.92,525.22,0.79,12.91,526.01,538.13
34.5364,527,538.33,524.35,0.79,13.19,525.14,537.54
34.5865,496,537.78,523.49,0.81,13.49,524.3,536.98
34.6366,478,537.28,522.62,0.83,13.82,523.45,536.44
34.6868,481,536.82,521.76,0.87,14.18,522.63,535.94
34.7369,468,536.41,520.9,0.93,14.58,521.83,535.48
34.787,488,536.07,520.05,1.01,15.02,521.06,535.07
34.8372,491,535.8,519.19,1.11,15.5,520.3,534.69
34.8873,544,535.62,518.34,1.27,16.02,519.61,534.36
34.9375,497,535.57,517.48,1.48,16.6,518.96,534.08
