Angle,Observed,Calculated,Background,Quartz_nb,Calcite_bn,Quartz,Calcite
20.6484,2154,1728.11,672.2,1055.8,0.12,1728,672.32
20.6985,2990,2410.31,672.48,1737.7,0.12,2410.18,672.6
20.7486,4403,3803.65,672.76,3130.74,0.14,3803.5,672.9
20.7988,7029,6429.39,673.04,5756.18,0.17,6429.22,673.21
20.8489,9315,8858.41,673.31,8184.89,0.21,8858.2,673.52
20.8991,7812,7539.3,673.58,6865.51,0.2,7539.09,673.78
20.9492,4585,4621.96,673.85,3947.93,0.19,4621.78,674.04
20.9993,2672,2749.82,674.11,2075.54,0.17,2749.65,674.28
21.0495,1873,1882.82,674.36,1208.3,0.17,1882.66,674.53
21.0996,1512,1455.45,674.61,780.67,0.17,1455.28,674.78
21.1497,1286,1219.84,674.86,544.82,0.17,1219.68,675.03
21.1999,1148,1077.54,675.09,402.28,0.17,1077.37,675.26
21.25,1031,985.43,675.33,309.93,0.17,985.26,675.5
21.3002,994,922.56,675.56,246.83,0.18,922.39,675.74
21.3503,973,877.84,675.78,201.87,0.18,877.65,675.96
21.4004,939,844.94,676,168.75,0.19,844.75,676.19
21.4506,904,820.08,676.21,143.68,0.2,819.89,676.41
21.5007,916,801.02,676.41,124.4,0.2,800.81,676.61
21.5508,854,785.88,676.61,109.05,0.21,785.66,676.82
21.601,833,773.77,676.8,96.75,0.22,773.55,677.02
21.6511,880,763.97,676.99,86.74,0.23,763.73,677.22
21.7013,782,755.93,677.17,78.52,0.24,755.69,677.41
21.7514,793,749.28,677.34,71.69,0.26,749.03,677.6
21.8015,820,743.74,677.51,65.96,0.27,743.47,677.78
21.8517,750,739.08,677.66,61.13,0.29,738.79,677.95
21.9018,778,735.14,677.82,57.02,0.31,734.84,678.13
21.9519,776,731.8,677.96,53.51,0.33,731.47,678.29
22.0021,773,728.96,678.1,50.51,0.35,728.61,678.45
22.0522,842,726.53,678.23,47.92,0.38,726.15,678.61
22.1024,842,724.45,678.35,45.69,0.41,724.04,678.76
22.1525,777,722.67,678.47,43.76,0.44,722.23,678.91
22.2026,767,721.15,678.57,42.1,0.49,720.67,679.06
22.2528,718,719.87,678.67,40.67,0.53,719.34,679.2
22.3029,704,718.78,678.76,39.43,0.59,718.19,679.35
22.353,729,717.87,678.85,38.36,0.66,717.21,679.51
22.4032,726,717.12,678.93,37.45,0.74,716.38,679.67
22.4533,783,716.52,679,36.68,0.85,715.68,679.85
22.5034,697,716.06,679.06,36.03,0.98,715.09,680.04
22.5536,722,715.74,679.11,35.49,1.14,714.6,680.25
22.6037,726,715.57,679.15,35.06,1.35,714.21,680.5
22.6539,726,715.55,679.19,34.73,1.64,713.92,680.83
22.704,671,715.72,679.22,34.48,2.02,713.7,681.24
22.7541,685,716.13,679.24,34.31,2.58,713.55,681.82
22.8043,707,716.87,679.25,34.22,3.4,713.47,682.65
22.8544,688,718.13,679.25,34.2,4.68,713.45,683.93
22.9045,691,720.3,679.25,34.25,6.8,713.5,686.05
22.9547,716,724.06,679.24,34.37,10.46,713.61,689.7
23.0048,689,730.53,679.21,34.54,16.77,713.75,695.98
23.055,743,740.29,679.18,34.79,26.32,713.97,705.5
23.1051,684,747.57,679.15,35.09,33.33,714.24,712.48
23.1552,685,744.5,679.1,35.45,29.95,714.55,709.05
23.2054,722,735.49,679.04,35.88,20.57,714.92,699.61
23.2555,671,727.94,678.98,36.36,12.6,715.34,691.58
23.3056,674,723.73,678.91,36.9,7.92,715.81,686.83
23.3558,701,721.65,678.82,37.51,5.32,716.33,684.14
23.4059,682,720.7,678.73,38.17,3.79,716.9,682.52
23.4561,625,720.38,678.63,38.9,2.84,717.53,681.47
23.5062,647,720.43,678.53,39.69,2.22,718.22,680.75
23.5563,641,720.74,678.41,40.54,1.78,718.95,680.19
23.6065,680,721.22,678.29,41.47,1.47,719.76,679.76
23.6566,669,721.85,678.15,42.46,1.24,720.61,679.39
23.7067,684,722.59,678.01,43.52,1.06,721.53,679.07
23.7569,625,723.44,677.86,44.65,0.93,722.51,678.79
23.807,697,724.76,677.7,46.24,0.82,723.94,678.52
23.8572,676,728.63,677.53,50.36,0.73,727.89,678.26
23.9073,741,739.33,677.35,61.31,0.66,738.66,678.01
23.9574,816,769.69,677.17,91.92,0.61,769.09,677.78
24.0076,864,830.16,676.97,152.63,0.56,829.6,677.53
24.0577,789,837,676.77,159.71,0.52,836.48,677.29
24.1078,750,793.31,676.56,116.27,0.48,792.83,677.04
24.158,710,768.28,676.34,91.49,0.46,767.83,676.8
24.2081,728,756.86,676.11,80.32,0.43,756.43,676.54
24.2582,689,751.5,675.87,75.22,0.41,751.09,676.28
24.3084,678,749.11,675.63,73.09,0.39,748.72,676.02
24.3585,698,748.35,675.37,72.6,0.38,747.97,675.75
24.4087,664,748.63,675.11,73.16,0.36,748.27,675.47
24.4588,715,749.62,674.84,74.44,0.35,749.28,675.19
24.5089,685,751.18,674.56,76.28,0.34,750.84,674.9
24.5591,655,753.17,674.27,78.57,0.34,752.84,674.61
24.6092,698,755.6,673.97,81.3,0.33,755.27,674.3
24.6593,726,758.43,673.66,84.44,0.32,758.1,673.98
24.7095,668,761.64,673.35,87.97,0.32,761.32,673.67
24.7596,653,765.25,673.03,91.91,0.31,764.94,673.34
24.8098,653,769.29,672.7,96.28,0.31,768.98,673.01
24.8599,704,773.76,672.36,101.1,0.31,773.46,672.67
24.91,719,778.73,672.01,106.41,0.31,778.42,672.32
24.9602,656,784.23,671.65,112.27,0.31,783.92,671.96
25.0103,717,790.31,671.29,118.72,0.3,790.01,671.59
25.0604,702,797.06,670.92,125.84,0.3,796.76,671.22
25.1106,749,804.54,670.54,133.7,0.31,804.24,670.85
